Aal	'ʔaː.aːl
aufbewahrt	'ʔaʊf.bə.vaːɐt
aufbewahrte	'ʔaʊf.bə.vaːɐ.tə
Aufbewahrungsort	'ʔaʊf.bə.vaː.ʀʊnks.ɔɐt
Aufbewahrungsorte	'ʔaʊf.bə.vaː.ʀʊnks.ɔɐ.tə
Aufbewahrungszeitraum	'ʔaʊf.bə.vaː.ʀʊnks.ʦaɪ.tʀaʊm
aufbieten	'ʔaʊf.biː.tən
aufbietend	'ʔaʊf.biː.tɛnt
Aufbietung	'ʔaʊf.biː.tʊŋ
aufbinden	'ʔaʊf.bɪn.dən
aufbindend	'ʔaʊf.bɪn.dɛnt
aufblasbar	'ʔaʊf.bla.sbaːɐ
aufblasen	'ʔaʊf.blaː.zən
aufblasend	'ʔaʊf.blaː.zɛnt
aufbleiben	'ʔaʊf.blaɪ.bən
aufbleibend	'ʔaʊf.blaɪ.bɛnt
aufblenden	'ʔaʊf.blɛn.dən
aufblendend	'ʔaʊf.blən.dɛnt
aufblinken	'ʔaʊf.blɪŋ.kən
aufblitzen	'ʔaʊf.bliːt.ʦən
aufblähen	'ʔaʊf.blə.hən
aufblähend	'ʔaʊf.blə.hɛnt
Aufblähung	'ʔaʊf.blə.hʊŋ
aufblühen	'ʔaʊf.blyː.hən
aufblühend	'ʔaʊf.blyː.hɛnt
aufbrauchen	'ʔaʊf.bʀaʊ.xən
aufbrauchend	'ʔaʊf.bʀaʊ.xɛnt
aufbrausen	'ʔaʊf.bʀaʊ.zən
aufbrausend	'ʔaʊf.bʀaʊ.zɛnt
aufbrechen	'ʔaʊf.bʀə.çən
aufbrechen nach	'ʔaʊf.bʀə.çɛn .naːx
aufbrechen nach	'ʔaʊf.bʀə.çɛn .naːx
aufbrechend	'ʔaʊf.bʀə.çɛnt
aufbringen	'ʔaʊf.bʀɪŋ.gən
aufbringend	'ʔaʊf.bʀɪŋ.gɛnt
Aufbruch	'ʔaʊf.bʀuːx
aufbrühen	'ʔaʊf.bʀyː.hən
aufbäumen	'ʔaʊf.bə.uː.mən
aufbäumend	'ʔaʊf.bə.uː.mɛnt
aufbürdend	'ʔaʊf.bʏɐ.dɛnt
aufdampfen	'ʔaʊf.dam.pfən
Aufdampfung	'ʔaʊf.dam.pfʊŋ
aufdecken	'ʔaʊf.dɛ.kən
aufdeckend	'ʔaʊf.dɛ.kɛnt
aufdeckende	'ʔaʊf.dɛ.kən.də
aufdrehen	'ʔaʊf.dʀeː.ən
aufdrehend	'ʔaʊf.dʀeː.ɛnt
aufdringlich	'ʔaʊf.dʀɪŋ.glɪç
aufdringlich ankündigen	'ʔaʊf.dʀɪŋ.glɪç .aŋ.kʏn.diː.gən
aufdringliche	'ʔaʊf.dʀɪŋ.glɪ.çə
aufdringlichere	'ʔaʊf.dʀɪŋ.glɪ.çə.ʀə
Aufdringlichkeit	'ʔaʊf.dʀɪŋ.glɪç.kaɪt
Aufdringlichkeiten	'ʔaʊf.dʀɪŋ.glɪç.kaɪ.tən
aufdringlichste	'ʔaʊf.dʀɪŋ.glɪç.ʃtə
aufdruckend	'ʔaʊf.dʀʊ.kɛnt
aufdrängen	'ʔaʊf.dʀɛŋ.gən
aufdrängen	'ʔaʊf.dʀɛŋ.gən
aufdrängend	'ʔaʊf.dʀən.gɛnt
aufdrücken	'ʔaʊf.dʀʏ.kən
aufdrückend	'ʔaʊf.dʀʏ.kɛnt
aufeinander abstimmen	'ʔaʊ.faɪ.nan.dɛɐ .aːp.ʃtɪ.mən
aufeinander wirken	'ʔaʊ.faɪ.nan.dɛɐ .vɪɐ.kən
aufeinander wirkend	'ʔaʊ.faɪ.nan.dɛɐ .vɪɐ.kɛnt
Aufeinanderfolge	'ʔaʊ.faɪ.nan.dɐ.fɔl.gə
aufeinanderfolgend	'ʔaʊ.faɪ.nan.dɐ.fɔl.gɛnt
aufeinanderfolgende	'ʔaʊ.faɪ.nan.dɐ.fɔl.gən.də
aufeinandergeprallt	'ʔaʊ.faɪ.nan.dɐ.gə.pʀalt
aufeinanderprallen	'ʔaʊ.faɪ.nan.dɐ.pʀa.lən
aufeinanderprallend	'ʔaʊ.faɪ.nan.dɐ.pʀa.lɛnt
Aufenhalt	'ʔaʊ.fən.halt
Aufenthalt	'ʔaʊ.fɛnt.halt
Aufenthaltsbewilligung	'ʔaʊ.fɛnt.halt.sbə.vɪ.liː.gʊŋ
Aufenthaltserlaubnis	'ʔaʊ.fɛnt.halt.zə.ʀlaʊ.bniːs
Aufenthaltsgenehmigung	'ʔaʊ.fɛnt.halt.sgə.neː.miː.gʊŋ
Aufenthaltsort	'ʔaʊ.fɛnt.halt.zɔɐt
Aufenthaltsraum	'ʔaʊ.fɛnt.halt.sʀaʊm
auferlegen	'ʔaʊ.fə.ʀlə.gən
auferlegend	'ʔaʊ.fə.ʀlə.gɛnt
auferlegt	'ʔaʊ.fə.ʀlɛkt
Auferlegung	'ʔaʊ.fə.ʀlə.gʊŋ
Auferlegungen	'ʔaʊ.fə.ʀlə.gʊŋ.gən
auferstanden	'ʔaʊ.fɐ.ʃtan.dən
auferstehen	'ʔaʊ.fɐ.ʃteː.ən
auferstehend	'ʔaʊ.fɐ.ʃteː.ɛnt
Auferstehung	'ʔaʊ.fɐ.ʃteː.ʊŋ
aufessen	'ʔaʊ.fɛ.sən
aufessend	'ʔaʊ.fɛ.sɛnt
auffahren	'ʔaʊf.faː.ʀən
auffahrend	'ʔaʊf.faː.ʀɛnt
Auffahrt	'ʔaʊf.faːɐt
Auffahrten	'ʔaʊf.faːɐ.tən
auffallen	'ʔaʊf.fa.lən
auffallend	'ʔaʊf.fa.lɛnt
auffallende	'ʔaʊf.fa.lən.də
auffangen	'ʔaʊf.faŋ.gən
auffangend	'ʔaʊf.faŋ.gɛnt
auffassbar	'ʔaʊf.fa.sbaːɐ
auffassend	'ʔaʊf.fa.sɛnt
Auffassung	'ʔaʊf.fa.sʊŋ
Auffassungsgabe	'ʔaʊf.fa.sʊnks.gaː.bə
Auffassungskraft	'ʔaʊf.fa.sʊnks.kʀaft
Auffassungsvermögen	'ʔaʊf.fa.sʊnks.fɐ.møː.gən
auffindbar	'ʔaʊf.fɪnt.baːɐ
auffinden	'ʔaʊf.fɪn.dən
auffindend	'ʔaʊf.fɪn.dɛnt
auffischen	'ʔaʊf.fiː.ʃən
auffischend	'ʔaʊf.fiː.ʃɛnt
aufflammen	'ʔaʊf.fla.mən
aufflammend	'ʔaʊf.fla.mɛnt
auffliegen	'ʔaʊf.fliː.gən
auffliegend	'ʔaʊf.fliː.gɛnt
auffordern	'ʔaʊf.fɔɐ.dɐn
auffordernd	'ʔaʊf.fɔɐ.dɛɐnt
Aufforderung	'ʔaʊf.fɔɐ.də.ʀʊŋ
Aufforderungen	'ʔaʊf.fɔɐ.də.ʀʊŋ.gən
aufforsten	'ʔaʊf.foːɐ.ʃtən
aufforstend	'ʔaʊf.foːɐ.ʃtɛnt
Aufforstung	'ʔaʊf.foːɐ.ʃtʊŋ
auffressen	'ʔaʊf.fʀɛ.sən
auffressend	'ʔaʊf.fʀɛ.sɛnt
auffrischen	'ʔaʊf.fʀiː.ʃən
auffrischen	'ʔaʊf.fʀiː.ʃən
auffrischend	'ʔaʊf.fʀiː.ʃɛnt
Auffrischungsmittel	'ʔaʊf.fʀiː.ʃʊnks.mɪ.təl
auffächern	'ʔaʊf.fə.çɐn
auffällig	'ʔaʊf.fɛ.lɪç
auffällige	'ʔaʊf.fɛ.liː.gə
auffälliger	'ʔaʊf.fɛ.liː.gɐ
auffälligere	'ʔaʊf.fɛ.liː.gə.ʀə
auffälligste	'ʔaʊf.fɛ.lɪç.ʃtə
aufführen	'ʔaʊf.fyː.ʀən
aufführend	'ʔaʊf.fyː.ʀɛnt
Aufführung	'ʔaʊf.fyː.ʀʊŋ
auffüllbar	'ʔaʊf.fʏl.baːɐ
auffüllen	'ʔaʊf.fʏ.lən
auffüllen	'ʔaʊf.fʏ.lən
auffüllend	'ʔaʊf.fʏ.lɛnt
Auffüllung	'ʔaʊf.fʏ.lʊŋ
Auffüllzeichen	'ʔaʊf.fʏl.ʦaɪ.çən
Aufgabe	'ʔaʊf.gaː.bə
Aufgabe des Wohnsitzes	'ʔaʊf.gaː.bɛ  .dɛs .voːn.ziːt.ʦeːs
Aufgabe einer Stellung	'ʔaʊf.gaː.beː .aɪ.nɛɐ .ʃtɛ.lʊŋ
Aufgabe übertragen	'ʔaʊf.gaː.beː .yː.bɐ.tʀaː.gən
Aufgaben	'ʔaʊf.gaː.bən
aufgabenabhängig	'ʔaʊf.gaː.bə.naːp.hən.gɪç
Aufgabenablauffolge	'ʔaʊf.gaː.bə.na.blaʊf.fɔl.gə
Aufgabenbereicherung	'ʔaʊf.gaː.bən.bə.ʀaɪ.çə.ʀʊŋ
Aufgabenerweiterung	'ʔaʊf.gaː.bə.nɐ.vaɪ.tə.ʀʊŋ
Aufgabenheft	'ʔaʊf.gaː.bən.hɛft
Aufgabenkreis	'ʔaʊf.gaː.bən.kʀaɪs
Aufgabenkreise	'ʔaʊf.gaː.bən.kʀaɪ.zə
Aufgabenscheine	'ʔaʊf.gaː.bən.ʃaɪ.nə
Aufgabenstellung	'ʔaʊf.gaː.bən.ʃtɛ.lʊŋ
Aufgabensteuerung	'ʔaʊf.gaː.bən.ʃtɔɪ.ə.ʀʊŋ
aufgearbeitet	'ʔaʊf.gə.aɐ.baɪ.teːt
aufgeatmet	'ʔaʊf.gə.aːt.meːt
aufgebahrt	'ʔaʊf.gə.baːɐt
aufgebauscht	'ʔaʊf.gə.baʊʃt
aufgebaut	'ʔaʊf.gə.baʊt
aufgeben	'ʔaʊf.gə.bən
aufgebend	'ʔaʊf.gə.bɛnt
aufgebessert	'ʔaʊf.gə.bɛ.sɛɐt
aufgeblasen	'ʔaʊf.gə.blaː.zən
aufgeblasene	'ʔaʊf.gə.blaː.zə.nə
aufgeblendet	'ʔaʊf.gə.blən.deːt
aufgeblieben	'ʔaʊf.gə.bliː.bən
aufgeblitzt	'ʔaʊf.gə.blɪʦt
aufgeblähtere	'ʔaʊf.gə.blə.tə.ʀə
aufgeblähteste	'ʔaʊf.gə.blə.tə.ʃtə
aufgeblüht	'ʔaʊf.gə.blyːt
aufgebockt	'ʔaʊf.gə.bɔkt
Aufgebot	'ʔaʊf.gə.boːt
aufgebracht	'ʔaʊf.gə.bʀaxt
aufgebrachte	'ʔaʊf.gə.bʀaːx.tə
aufgebraucht	'ʔaʊf.gə.bʀaʊxt
aufgebraust	'ʔaʊf.gə.bʀaʊst
aufgebrochen	'ʔaʊf.gə.bʀoː.xən
aufgebunden	'ʔaʊf.gə.bʊn.dən
aufgebäumt	'ʔaʊf.gə.bə.ʊmt
aufgebügelt	'ʔaʊf.gə.byː.gɛlt
aufgebürdet	'ʔaʊf.gə.bʏɐ.deːt
aufgedeckt	'ʔaʊf.gə.dɛkt
aufgedonnert	'ʔaʊf.gə.dɔ.nɛɐt
aufgedonnert sein	'ʔaʊf.gə.dɔ.nɛɐt .zaɪn
aufgedrängt	'ʔaʊf.gə.dʀɛnkt
aufgedrückt	'ʔaʊf.gə.dʀʏkt
aufgedunsen	'ʔaʊf.gə.duːn.zən
aufgedunsene	'ʔaʊf.gə.duːn.zə.nə
aufgefahren	'ʔaʊf.gə.faː.ʀən
aufgefallen	'ʔaʊf.gə.fa.lən
aufgefangen	'ʔaʊf.gə.faŋ.gən
aufgefischt	'ʔaʊf.gə.fɪʃt
aufgeflammt	'ʔaʊf.gə.flamt
aufgeflogen	'ʔaʊf.gə.floː.gən
aufgefordert	'ʔaʊf.gə.fɔɐ.dɛɐt
aufgeforstet	'ʔaʊf.gə.foːɐ.ʃteːt
aufgefressen	'ʔaʊf.gə.fʀɛ.sən
aufgefrischt	'ʔaʊf.gə.fʀɪʃt
aufgefunden	'ʔaʊf.gə.fʊn.dən
aufgeführt	'ʔaʊf.gə.fyːɐt
aufgefüllt	'ʔaʊf.gə.fʏlt
aufgegangen	'ʔaʊf.gə.gaŋ.gən
aufgegeben	'ʔaʊf.gə.gə.bən
aufgegessen	'ʔaʊf.gə.gɛ.sən
aufgegliedert	'ʔaʊf.gə.gliː.dɛɐt
aufgegossen	'ʔaʊf.gə.gɔ.sən
aufgegriffen	'ʔaʊf.gə.gʀiːf.fən
aufgehabt	'ʔaʊf.geː.apt
aufgehackt	'ʔaʊf.geː.akt
aufgehakt	'ʔaʊf.geː.akt
aufgehalten	'ʔaʊf.geː.al.tən
aufgeheitert	'ʔaʊf.geː.aɪ.tɛɐt
aufgehellt	'ʔaʊf.geː.ɛlt
aufgehen	'ʔaʊf.geː.ən
aufgehen in	'ʔaʊf.geː.ɛn .iːn
aufgehen lassen in	'ʔaʊf.geː.ɛn .la.sɛn .iːn
aufgehend	'ʔaʊf.geː.ɛnt
aufgehoben	'ʔaʊf.geː.oː.bən
aufgeholfen	'ʔaʊf.geː.oːl.fən
aufgeholt	'ʔaʊf.geː.ɔlt
aufgehorcht	'ʔaʊf.geː.ɔɐçt
aufgehängt	'ʔaʊf.geː.ɛnkt
aufgehört	'ʔaʊf.geː.œɐt
aufgekauft	'ʔaʊf.gə.kaʊft
aufgeklappt	'ʔaʊf.gə.klapt
aufgeklinkt	'ʔaʊf.gə.klɪnkt
aufgeklärt	'ʔaʊf.gə.klɛɐt
Aufgeklärtheit	'ʔaʊf.gə.klɛɐt.haɪt
aufgeknöpft	'ʔaʊf.gə.knœpft
aufgekocht	'ʔaʊf.gə.kɔxt
aufgekommen	'ʔaʊf.gə.kɔ.mən
aufgekratzt	'ʔaʊf.gə.kʀaʦt
aufgekrempelt	'ʔaʊf.gə.kʀəm.pɛlt
aufgekreuzt	'ʔaʊf.gə.kʀɔɪʦt
aufgelacht	'ʔaʊf.gə.laxt
aufgeladen	'ʔaʊf.gə.laː.dən
aufgelassen	'ʔaʊf.gə.la.sən
aufgelauert	'ʔaʊf.gə.laʊ.ɛɐt
aufgelaufen	'ʔaʊf.gə.laʊ.fən
aufgelaufen im Jahr	'ʔaʊf.gə.laʊ.fɛn .ɪm .jaːɐ
aufgelaufene Dividende	'ʔaʊf.gə.laʊ.fə.neː .diː.fiː.dən.də
aufgelaufene Zinsen	'ʔaʊf.gə.laʊ.fə.neː .ʦiːn.zən
Aufgeld	'ʔaʊf.gɛlt
aufgelegen	'ʔaʊf.gə.lə.gən
aufgelegt	'ʔaʊf.gə.lɛkt
aufgelegt Tel	'ʔaʊf.gə.lɛkt .təl
aufgelehnt	'ʔaʊf.gə.leːnt
aufgelesen	'ʔaʊf.gə.lə.zən
aufgeleuchtet	'ʔaʊf.gə.lɔɪx.teːt
aufgelistet	'ʔaʊf.gə.lɪ.ʃteːt
aufgelockert	'ʔaʊf.gə.lɔ.kɛɐt
aufgelockertere	'ʔaʊf.gə.lɔ.kɐ.tə.ʀə
aufgelockertste	'ʔaʊf.gə.lɔ.kɛɐt.ʃtə
aufgelodert	'ʔaʊf.gə.loː.dɛɐt
aufgelöst	'ʔaʊf.gə.lœst
aufgelöstere	'ʔaʊf.gə.lœ.ʃtə.ʀə
aufgelösteste	'ʔaʊf.gə.lœ.ʃtə.ʃtə
aufgemacht	'ʔaʊf.gə.maxt
aufgemöbelt	'ʔaʊf.gə.møː.bɛlt
aufgenommen	'ʔaʊf.gə.nɔ.mən
aufgeopfert	'ʔaʊf.gə.ɔ.pfɛɐt
aufgepasst	'ʔaʊf.gə.past
aufgeplatzt	'ʔaʊf.gə.plaʦt
aufgepulvert	'ʔaʊf.gə.puːl.fɛɐt
aufgepumpt	'ʔaʊf.gə.pʊmpt
aufgeputzt	'ʔaʊf.gə.pʊʦt
aufgeputzter	'ʔaʊf.gə.puːʦ.tɐ
aufgeputzteste	'ʔaʊf.gə.puːʦ.tə.ʃtə
aufgerafft	'ʔaʊf.gə.ʀafft
aufgerechnet	'ʔaʊf.gə.ʀə.çneːt
aufgeregt	'ʔaʊf.gə.ʀɛkt
aufgeregt auffliegen	'ʔaʊf.gə.ʀɛkt .aʊf.fliː.gən
aufgeregt sein	'ʔaʊf.gə.ʀɛkt .zaɪn
aufgereiht	'ʔaʊf.gə.ʀaɪt
aufgereizt	'ʔaʊf.gə.ʀaɪʦt
aufgerichtet	'ʔaʊf.gə.ʀɪç.teːt
aufgerissen	'ʔaʊf.gə.ʀɪ.sən
aufgerollt	'ʔaʊf.gə.ʀɔlt
aufgerufen	'ʔaʊf.gə.ʀuː.fən
aufgerundet	'ʔaʊf.gə.ʀʊn.deːt
aufgeräumt	'ʔaʊf.gə.ʀə.ʊmt
aufgerückt	'ʔaʊf.gə.ʀʏkt
aufgerüstet	'ʔaʊf.gə.ʀʏ.ʃteːt
aufgesagt	'ʔaʊf.gə.zakt
aufgeschaut	'ʔaʊf.gə.ʃaʊt
aufgeschlossen	'ʔaʊf.gə.ʃlɔ.sən
Aufgeschlossenheit	'ʔaʊf.gə.ʃlɔ.sən.haɪt
aufgeschmissen sein	'ʔaʊf.gə.ʃmɪ.sɛn .zaɪn
aufgeschnürt	'ʔaʊf.gə.ʃnʏɐt
aufgeschoben	'ʔaʊf.gə.ʃoː.bən
aufgeschraubte	'ʔaʊf.gə.ʃʀaʊp.tə
aufgeschreckt	'ʔaʊf.gə.ʃʀɛkt
aufgeschrien	'ʔaʊf.gə.ʃʀiːn
aufgesogen	'ʔaʊf.gə.zoː.gən
aufgespannt	'ʔaʊf.gə.ʃpant
aufgespart	'ʔaʊf.gə.ʃpaɐt
aufgespeichert	'ʔaʊf.gə.ʃpaɪ.çɛɐt
aufgesperrt	'ʔaʊf.gə.ʃpɛɐt
aufgespießene	'ʔaʊf.gə.ʃpiː.sə.nə
aufgesprungen	'ʔaʊf.gə.ʃpʀʊŋ.gən
aufgespürt	'ʔaʊf.gə.ʃpʏɐt
aufgestachelt	'ʔaʊf.gə.ʃtaː.xɛlt
aufgestanden	'ʔaʊf.gə.ʃtan.dən
aufgesteckt	'ʔaʊf.gə.ʃtɛkt
aufgestecktes	'ʔaʊf.gə.ʃtɛk.teːs
aufgestiegen	'ʔaʊf.gə.ʃtiː.gən
aufgestoßen	'ʔaʊf.gə.ʃtoː.sən
aufgestrebt	'ʔaʊf.gə.ʃtʀɛpt
aufgestrichen	'ʔaʊf.gə.ʃtʀɪ.çən
aufgestöbert	'ʔaʊf.gə.ʃtøː.bɛɐt
aufgesucht	'ʔaʊf.gə.zʊxt
aufgetaucht	'ʔaʊf.gə.taʊxt
aufgetaut	'ʔaʊf.gə.taʊt
aufgeteilt	'ʔaʊf.gə.taɪlt
aufgetischt	'ʔaʊf.gə.tɪʃt
aufgetrennt	'ʔaʊf.gə.tʀɛnt
aufgetreten	'ʔaʊf.gə.tʀə.tən
aufgetrieben	'ʔaʊf.gə.tʀiː.bən
aufgetroffen	'ʔaʊf.gə.tʀoːf.fən
aufgewachsen	'ʔaʊf.gə.vaːx.zən
aufgewacht	'ʔaʊf.gə.vaxt
aufgewandt	'ʔaʊf.gə.vant
aufgewartet	'ʔaʊf.gə.vaɐ.teːt
aufgeweckt	'ʔaʊf.gə.vɛkt
aufgewecktere	'ʔaʊf.gə.vɛk.tə.ʀə
aufgeweckteste	'ʔaʊf.gə.vɛk.tə.ʃtə
aufgeweicht	'ʔaʊf.gə.vaɪçt
aufgewendet	'ʔaʊf.gə.vən.deːt
aufgewertete	'ʔaʊf.gə.vɐ.tə.tə
aufgewickelt	'ʔaʊf.gə.vɪ.kɛlt
aufgewiesen	'ʔaʊf.gə.viː.zən
aufgewirbelt	'ʔaʊf.gə.vɪɐ.bɛlt
aufgewischt	'ʔaʊf.gə.vɪʃt
aufgeworfen	'ʔaʊf.gə.voːɐ.fən
aufgewärmt	'ʔaʊf.gə.vɛɐmt
aufgezeichned	'ʔaʊf.gə.ʦaɪ.çneːt
aufgezeichnet	'ʔaʊf.gə.ʦaɪ.çneːt
aufgezeigt	'ʔaʊf.gə.ʦaɪkt
aufgezogen	'ʔaʊf.gə.ʦoː.gən
aufgezwungen	'ʔaʊf.gə.ʦvʊŋ.gən
aufgezählt	'ʔaʊf.gə.ʦɛlt
aufgießen	'ʔaʊf.giː.sən
aufgießend	'ʔaʊf.giː.sɛnt
aufgliedern	'ʔaʊf.gliː.dɐn
aufgliedernd	'ʔaʊf.gliː.dɛɐnt
aufgreifen	'ʔaʊf.gʀaɪ.fən
aufgreifend	'ʔaʊf.gʀaɪ.fɛnt
aufgrund	'ʔaʊf.gʀʊnt
Aufguss	'ʔaʊf.gʊs
aufhaben	'ʔaʊf.haː.bən
aufhabend	'ʔaʊf.haː.bɛnt
aufhackend	'ʔaʊf.ha.kɛnt
aufhaken	'ʔaʊf.haː.kən
aufhakend	'ʔaʊf.haː.kɛnt
aufhalten	'ʔaʊf.hal.tən
aufhalten Tür	'ʔaʊf.hal.tɛn .tyːɐ
aufhaltend	'ʔaʊf.hal.tɛnt
aufhebbar	'ʔaʊf.hɛ.baːɐ
aufheben	'ʔaʊf.hə.bən
aufheben	'ʔaʊf.hə.bən
aufhebend	'ʔaʊf.hə.bɛnt
Aufhebung	'ʔaʊf.hə.bʊŋ
Aufhebung der Rassentrennung	'ʔaʊf.hə.bʊnk  .dɛɐ .ʀa.sən.tʀɛ.nʊŋ
Aufhebung der Sklaverei	'ʔaʊf.hə.bʊnk  .dɛɐ .sklaː.fə.ʀaɪ
Aufhebungen	'ʔaʊf.hə.bʊŋ.gən
aufheitern	'ʔaʊf.haɪ.tɐn
aufheiternd	'ʔaʊf.haɪ.tɛɐnt
Aufheizen	'ʔaʊf.haɪ.ʦən
Aufheizgeschwindigkeit	'ʔaʊf.haɪʦ.gə.ʃvɪn.dɪç.kaɪt
aufhelfen	'ʔaʊf.həl.fən
aufhelfend	'ʔaʊf.həl.fɛnt
aufhellbar	'ʔaʊf.hɛl.baːɐ
aufhellen	'ʔaʊf.hɛ.lən
aufhellend	'ʔaʊf.hɛ.lɛnt
aufhetzen	'ʔaʊf.heːt.ʦən
aufhetzend	'ʔaʊf.heːt.ʦɛnt
aufholen	'ʔaʊf.hoː.lən
aufholend	'ʔaʊf.hoː.lɛnt
aufhorchen	'ʔaʊf.hɔɐ.çən
aufhorchend	'ʔaʊf.hɔɐ.çɛnt
aufhängen	'ʔaʊf.hɛŋ.gən
Aufhängen eines Programms in einer Schleife	'ʔaʊf.hən.gɛn  .aɪ.nɛs .pʀɔ.gʀams .ɪn .aɪ.nɛɐ .ʃlaɪ.fə
aufhängend	'ʔaʊf.hən.gɛnt
Aufhänger	'ʔaʊf.hən.gɐ
Aufhängung	'ʔaʊf.hən.gʊŋ
Aufhängungen	'ʔaʊf.hɛŋ.gʊŋ.gən
aufhäufen	'ʔaʊf.hə.uː.fən
aufhäufend	'ʔaʊf.hə.uː.fɛnt
aufhören	'ʔaʊf.høː.ʀən
aufhören mit	'ʔaʊf.høː.ʀɛn .miːt
Aufkauf	'ʔaʊf.kaʊf
aufkaufen	'ʔaʊf.kaʊ.fən
aufkaufen	'ʔaʊf.kaʊ.fən
aufklappend	'ʔaʊf.kla.pɛnt
Aufkleber	'ʔaʊf.klə.bɐ
aufklingend	'ʔaʊf.klɪŋ.gɛnt
aufklinken	'ʔaʊf.klɪŋ.kən
aufklinkend	'ʔaʊf.klɪŋ.kɛnt
aufklären	'ʔaʊf.klə.ʀən
aufklärend	'ʔaʊf.klə.ʀɛnt
aufklärende	'ʔaʊf.klə.ʀən.də
Aufklärer	'ʔaʊf.klə.ʀɐ
Aufklärungs	'ʔaʊf.klə.ʀʊnks
aufknöpfen	'ʔaʊf.knœ.pfən
aufknöpfend	'ʔaʊf.knœ.pfɛnt
aufkochen	'ʔaʊf.koː.xən
aufkochend	'ʔaʊf.koː.xɛnt
aufkommen	'ʔaʊf.kɔ.mən
aufkommend	'ʔaʊf.kɔ.mɛnt
aufkrempeln	'ʔaʊf.kʀəm.pɛln
aufkrempelnd	'ʔaʊf.kʀəm.pɛlnt
aufkreuzen	'ʔaʊf.kʀɔɪ.ʦən
aufkreuzend	'ʔaʊf.kʀɔɪ.ʦɛnt
Aufkäufer	'ʔaʊf.kə.uː.fɐ
Aufkäufer	'ʔaʊf.kə.uː.fɐ
Aufkäufer unrentabler Anlagen	'ʔaʊf.kə.uː.fɛɐ  .ʊ.nʀɛn.ta.blɛɐ .a.nlaː.gən
auflachen	'ʔaʊ.flaː.xən
auflachend	'ʔaʊ.flaː.xɛnt
aufladen	'ʔaʊ.flaː.dən
aufladen	'ʔaʊ.flaː.dən
aufladend	'ʔaʊ.flaː.dɛnt
Aufladung	'ʔaʊ.fla.dʊŋ
Auflage	'ʔaʊ.flaː.gə
Auflage einer Zeitung	'ʔaʊ.flaː.gɛ  .aɪ.nɛɐ .ʦaɪ.tʊŋ
Auflage eines Buches	'ʔaʊ.flaː.gɛ  .aɪ.nɛs .buː.xeːs
Auflagefläche	'ʔaʊ.flaː.gə.flə.çə
Auflagen	'ʔaʊ.flaː.gən
Auflageziffern	'ʔaʊ.flaː.gə.ʦiːf.fɐn
auflassen	'ʔaʊ.fla.sən
auflassend	'ʔaʊ.fla.sɛnt
auflauern	'ʔaʊ.flaʊ.ɐn
auflauernd	'ʔaʊ.flaʊ.ɛɐnt
Auflauf	'ʔaʊ.flaʊf
auflaufen	'ʔaʊ.flaʊ.fən
Auflaufen Zinsen	'ʔaʊ.flaʊ.fɛn  .ʦiːn.zən
auflaufend	'ʔaʊ.flaʊ.fɛnt
auflegen	'ʔaʊ.flə.gən
auflegend	'ʔaʊ.flə.gɛnt
auflehnen	'ʔaʊ.fleː.nən
auflehnend	'ʔaʊ.fleː.nɛnt
auflehnende	'ʔaʊ.fleː.nən.də
auflehnte	'ʔaʊ.fleːn.tə
Auflehnung	'ʔaʊ.fleː.nʊŋ
auflesen	'ʔaʊ.flə.zən
auflesend	'ʔaʊ.flə.zɛnt
aufleuchten	'ʔaʊ.flɔɪx.tən
aufleuchtend	'ʔaʊ.flɔɪx.tɛnt
aufliegen	'ʔaʊ.fliː.gən
aufliegend	'ʔaʊ.fliː.gɛnt
auflisten	'ʔaʊ.flɪ.ʃtən
Auflister	'ʔaʊ.flɪ.ʃtɐ
Auflistung	'ʔaʊ.flɪ.ʃtʊŋ
auflockern	'ʔaʊ.flɔ.kɐn
auflockernd	'ʔaʊ.flɔ.kɛɐnt
auflodern	'ʔaʊ.floː.dɐn
auflodernd	'ʔaʊ.floː.dɛɐnt
Aufläufe	'ʔaʊ.flə.uː.fə
auflösbar	'ʔaʊ.flœ.sbaːɐ
Auflösbarkeit	'ʔaʊ.flœ.sbaɐ.kaɪt
auflösen	'ʔaʊ.fløː.zən
auflösen Geschäft	'ʔaʊ.fløː.zɛn .gə.ʃɛft
auflösen Versammlung	'ʔaʊ.fløː.zɛn .fɐ.za.mlʊŋ
auflösend	'ʔaʊ.fløː.zɛnt
Auflösung	'ʔaʊ.flœ.zʊŋ
Auflösungen	'ʔaʊ.flœ.zʊŋ.gən
aufmachen	'ʔaʊf.maː.xən
aufmachend	'ʔaʊf.maː.xɛnt
Aufmarschgebiet	'ʔaʊf.maːɐ.ʃgə.biːt
Aufmarschieren in Linie	ʔaʊf.maːɐ.'ʃiː.ʀɛn  .ɪn .liː.niː
aufmarschieren lassen	ʔaʊf.maːɐ.'ʃiː.ʀɛn .la.sən
aufmerksam	'ʔaʊf.mɛɐk.zaːm
aufmerksam beobachten	'ʔaʊf.mɛɐk.zam .bə.oː.baːx.tən
aufmerksam machen	'ʔaʊf.mɛɐk.zam .maː.xən
aufmerksam machen auf	'ʔaʊf.mɛɐk.zam .maː.xɛn .aʊf
aufmerksame	'ʔaʊf.mɛɐk.zaː.mə
aufmerksamere	'ʔaʊf.mɛɐk.zaː.mə.ʀə
Aufmerksamkeit	'ʔaʊf.mɛɐk.zam.kaɪt
