of	ɒv
hunchback	hʌntʃbæk
nonchalance	nɑnʃəlɑns
alabaster	æləbæstə
dereliction	dɛɹɪlɪkʃən
preppy	prɛpi
revisionism	rɪvɪʒənɪzəm
menorah	mɪnɔɹə
luck	lʌk
reefer	ɹifə
valise	vəliz
scalp	skælp
ennui	ɑnwi
gamete	ɡæmit
sanctification	saŋktɪfɪkeɪʃən
perplexity	pəplɛksɪti
postulate	pɒstjʊlət
toga	təʊɡə
sartorial	sɑtɔɹiəl
lob	lɒb
decontamination	dikəntæmɪneɪʃən
abridge	əbrɪdʒ
beanie	bini
servile	səɹvaɪl
smut	smʌt
swoon	swun
masseuse	məsus
dither	dɪðəɹ
bezel	bɛzəl
dodo	dəʊdəʊ
sucker	sʌkə
feigned	feɪnd
verbiage	vɜɹbiɪdʒ
emaciated	əmeɪsieɪtɪd
troika	tɹɔɪkə
ding	dɪŋ
tartan	tɑtən
inveterate	ɪnvɛtɚɪt
inactivate	ɪnæktɪveɪt
wicket	wɪkɪt
seance	seɪɑns
banquette	bæŋket
prefigure	prifɪɡjɚ
massed	mæst
instrumentality	ɪnstɹʊmɛntalɪti
deluge	dɛljudʒ
petting	pɛtɪŋ
imprudent	ɪmpɹudənt
schnapps	ʃnɑps
coot	kut
frankness	fɹæŋknɛs
daunt	dɔnt
plover	plʌvə
veep	vip
remit	ɹimɪt
ejaculate	ɪdʒækjʊleɪt
masochism	mæsəkɪzəm
cation	kætaɪən
pillory	pɪləɹi
docent	dəʊsənt
kingfisher	kɪŋfɪʃə
cartographic	kɑɹtəɡɹæfɪk
lout	laʊt
abortionist	əbɔɹʃnɪst
criminalization	krɪmɪnəlaɪzeɪʃən
alkali	ælkəlaɪ
cytoplasmic	saɪtəʊplazmɪk
drenched	dɹɛntʃt
balustrade	bæləstreɪd
reply	rɪplaɪ
penitent	pɛnətənt
biophysical	baɪəʊfɪzɪkəl
dimmer	dɪmər
parsimonious	pɑrsɪmoʊniəs
chill	tʃɪl
morpheme	mɔɹfim
unleaded	ʌnlɛdəd
paladin	pælədɪn
barmaid	bɑɹmeɪd
borer	bɔrə
gangrene	ɡæŋɡrin
laggard	laɡəd
umpteenth	ʌmptinθ
calisthenics	kælɪsθɛnɪks
disinclined	dɪsɪŋklaɪnd
diuretic	daɪjəɹɛtɪk
gargle	ɡɑɹɡəl
schadenfreude	ʃɑdənfɹɔɪdə
morel	məɹɛl
onyx	ɔnɪks
yuk	jʌk
griffin	ɡɹɪfɪn
encephalopathy	ɛnsɛfəlɒpəθi
magpie	mæɡpaɪ
ignominious	ɪɡnəmɪnɪəs
disempower	dɪsɪmpaʊwəɹ
hardscrabble	hɑrdskræbəl
thin	θɪn
aioli	ʌɪəʊli
overcast	oʊvɚkæst
garnet	ɡɑɹnət
disunity	dɪsjunɪti
fortieth	fɔɻtiəθ
linearity	lɪniæɹəti
gurgle	ɡəɡəl
blather	blæðər
largess	lɑɹdʒɛs
logarithm	lɑgəɹɪðəm
salicylic	sælɪsɪlɪk
hooked	hʊkt
claret	klærɪt
surfeit	sɝfɪt
iterate	ɪtəreɪt
twat	twæt
polis	pɒlɪs
nitro	naɪtrəʊ
hawker	hɔkə
overhang	əʊvəhaŋ
hexagon	hɛksəɡən
iconoclast	aɪkɒnəklæst
omniscience	ɑmnɪʃəns
tater	teɪtɚ
cavalcade	kævəlkeɪd
fizzy	fɪzi
infinitive	ɪnfɪnɪtɪv
reprove	ɹɪpɹuv
therefrom	ðeəfrɒm
backrest	bækɹest
leeward	liwɜɹd
crestfallen	krɛstfɔlən
typecast	taɪpkæst
unbind	ʌnbaɪnd
camisole	kamɪsəʊl
decamp	dikæmp
simulcast	sɪməlkæst
upright	ʌpraɪt
wholehearted	həʊlhɑɹtəd
bruschetta	brʊskɛtə
southpaw	saʊθpɔ
gab	ɡæb
creative	kɹieɪtɪv
mastiff	mæstɪf
gratuitously	ɡɹətjuɪtəsli
flab	flæb
hob	hɒb
ladyship	leɪdiʃɪp
polyglot	pɒliɡlɒt
denude	dɪnjud
paroxysm	pæɹəksɪzəm
commutation	kɒmjuteɪʃən
random	rændəm
privateer	pɹaɪvətɪə
adroit	ədɹɔɪt
flub	flʌb
narco	nɑkəʊ
awakening	əweɪkənɪŋ
decryption	dɪkɹɪpʃən
bloodlust	blʌdlʌst
thespian	θɛzbiən
widow	wɪdəʊ
tinkle	tɪŋkəl
krill	kɹɪl
chagrin	ʃæɡɹɪn
bent	bɛnt
fretful	fretfəl
saccharin	sækəɹɪn
hymen	haɪmən
treble	trɛbəl
gawky	ɡɔki
ganache	ɡənɑʃ
witticism	wɪtɪsɪzəm
cyborg	saɪbɔɹɡ
fledge	flɛdʒ
perfidy	pəfɪdi
epidural	ɛpɪdjɔɹəl
gimlet	ɡɪmlət
dipstick	dɪpstɪk
horn	hɔɹn
beside	bɪsaɪd
inelegant	ɪnɛlɪgənt
blinded	blaɪndəd
raconteur	ɹækɒntə
stapes	steɪpiz
bier	bɪɹ
anthropic	ænθɹɒpɪk
clean	klin
creamer	kɹiməɹ
fist	fɪst
brazier	breɪʒər
yesterday	jɛstɚdeɪ
ignominy	ɪɡnəmɪni
mythologize	mɪθɒlədʒʌɪz
leitmotif	laɪtmoʊtif
swill	swɪl
decant	dəkænt
overdone	ovəɻdɔn
pillage	pɪlədʒ
brane	bɹeɪn
capping	kapɪŋ
zealotry	zɛlətri
calcite	kælsaɪt
coitus	kəʊɪtəs
chemise	ʃəmiz
underestimate	ʌndɚɛstɨmeɪt
plateau	plætəʊ
emasculate	ɪmæskjəleɪt
disused	dɪsjuzd
discretely	dɪskɹitli
cogently	kəʊdʒntli
twee	twi
anodyne	ænədaɪn
niqab	nɪkɑb
mined	maɪnd
hosiery	hoʊʒəri
bauxite	bɔksaɪt
strappy	stɹapi
medina	mədinə
leash	liʃ
meander	miændəɹ
theophany	θiɒfəni
batik	bətik
elision	ɪlɪʒn
begotten	bɪɡɒtən
amoxicillin	əmɑksɪcɪlɪn
deltoid	dɛɫtɔɪd
limpid	lɪmpɪd
multifarious	mʌltɪfeəɹiəs
nine-tenths	naɪntɛnθs
proof	pɹuf
bracero	brəsɪərəʊ
backwash	bækwɒʃ
prevarication	pɹɪvaɹɪkeɪʃən
ingenuous	ɪndʒɛnjuəs
bewilder	bɪwɪldəɹ
lisp	lɪθp
applique	æplɪkeɪ
kielbasa	kɪlbɑsə
sepulchre	sɛpəɫkəɹ
lacerate	læsɚejt
guff	ɡʌf
hieroglyphic	haɪɹəɡlɪfɪk
flour	flæwɚ
familiar	fəmɪliə
autochthonous	ɔtɑkθənəs
pipette	paɪpɛt
blemish	blɛmɪʃ
affordably	əfɔɹdəbli
refereed	rɛfərid
goose	ɡus
shul	ʃul
yaw	jɔ
boyo	bɔɪəʊ
brushed	bɹʌʃt
honky-tonk	hɒŋkitɒŋk
anadromous	ənædɹəməs
deactivation	diæktɪveɪʃən
lowercase	ləʊəɹkeɪs
civet	sɪvɪt
taxi	tæksi
sigil	sɪdʒɪl
blaspheme	blæsfim
deregulatory	diɹɛgjələtɹi
pell-mell	pelmel
prole	proʊl
stevedore	stivədɔɹ
clusterfuck	klʌstəɹfʌk
backhand	bækhænd
laminar	læmɪnə
grilling	ɡɹɪlɪŋ
grope	ɡɹoʊp
allusive	əlusɪv
bebop	bibɒp
busk	bʌsk
pugilist	pjudʒəlɪst
gumdrop	ɡʌmdrɑp
ossify	ɑsəfaɪ
thumbtack	θʌmtæk
seitan	seɪtən
dace	deɪs
buccal	bjʌkəl
frank	fɹæŋk
recalcitrance	ɹɪkælsɪtɹəns
hyperventilation	haɪpəɹvɛntəleɪʃən
ductile	dʌktaɪl
imprecation	ɪmpɹɪkeɪʃən
oxbow	ɒksbəʊ
univocal	junɪvəkəl
tun	tʌn
codpiece	kɒdpis
gape	ɡeɪp
lariat	læɹɪət
steno	stɛnoʊ
sagacious	səɡeɪʃəs
brassica	bɹæsɪkə
urbanity	əbænɪti
tittle	tɪtəl
palindrome	pælɪndroʊm
tuned	tjʉnd
extemporaneous	ɛksɛmpɜɹeɪniəs
duodenum	djuəʊdinəm
ciabatta	tʃəbɑta
pedantry	pɛdəntɹi
kiddy	kɪɾi
mange	meɪndʒ
defibrillation	difɪbɹɪleɪʃən
broach	bɹəʊtʃ
rebus	ribəs
axolotl	æksəlɑɾəl
husk	hʌsk
olivine	ɒlɪvin
gouda	ɡudə
comitatus	kɒmɪteɪtəs
quits	kwɪts
credited	kredɪt
espadrille	ɛspədrɪl
catbird	katbəd
perseveration	pɚsɛvəreɪʃən
trollop	tɹɒləp
nougat	nuɡət
parenchyma	pərɛŋkəmə
gladiolus	ɡlædɪoʊləs
collier	kɑliɚ
aardvark	ɑɹdvɑɹk
laughing	lɑfɪŋ
cubby	kʌbi
interchange	ɪntɚtʃeɪndʒ
junk	dʒʌŋk
petting	pɛtɪŋ
atlatl	ɑtlɑtl
snoring	snɔrɪŋ
lambaste	læmbæst
crescent	kɹɛsnt
despairingly	dɪspɛərɪŋli
whirligig	wɜlɪɡɪɡ
rattan	ɹətan
itis	ʌɪtəs
de-emphasis	diɛmfəsɪs
stentorian	stɛntɔriən
petrify	pɛtɹəfaɪ
newel	njuəl
beatify	biætɪfaɪ
chum	tʃʌm
dissidence	dɪsɪdəns
deputation	dɛpjuteɪʃən
helicopter	hɛlikɒptəɹ
gruelling	ɡɹulɪŋ
expectedly	ɪkspɛktɪdli
nelly	nɛli
phosphorescence	fɑsfərɛsəns
generalship	dʒɛnəɹəlʃɪp
zither	zɪðəɹ
thespian	θɛzbiən
antinomy	æntɪnəmi
disputable	dɪspjutəbəɫ
postulant	pɒstjʊlənt
overlarge	əʊvəlɑdʒ
polyamory	pɒliæməri
entranced	ɛntrɑnst
libration	laɪbɹeɪʃən
monstrance	mɑnztɻəns
ouzo	uzəʊ
propitiate	prəpɪʃieɪt
bacchanal	bækənəl
glockenspiel	ɡlɒknspil
mawkish	mɔkɪʃ
quantile	kwɒntaɪl
hexadecimal	hɛksədɛsɪməl
appertain	æpɚten
neodymium	nɪəʊdɪmɪəm
enthalpy	enθalpi
katydid	keɪtidɪd
campanile	kæmpənileɪ
condyle	kɒndɪl
saturnalia	sætɚneɪliə
defoliate	difəʊlijeɪt
grain	ɡɹeɪn
boykin	bɔɪkən
epicycle	ɛpɪsaɪkəl
naphtha	næfθə
negritude	nɛɡɹɪtjud
engram	ɛngɹæm
vervain	vɜveɪn
palpitate	pælpɪteɪt
foppish	fɒpɪʃ
pastis	pæstis
erotic	ɪɹɒtɪk
fluster	flʌstə
greensward	ɡrinswɔd
positronic	pɒzɪtɹɒnɪk
quietist	kwʌɪətɪst
cytosine	saɪtəsin
demo	dɛməʊ
bustard	bʌstəd
soffit	sɒfɪt
scriptorium	skɹɪptoɹiəm
spose	spəʊz
plummy	plʌmi
satori	sætɔri
artemisia	ɑtɪmɪzɪə
spank	spæŋk
dilapidation	dəlæpədeɪʃən
velar	veɪlɚ
estrange	ɪstreɪndʒ
bionics	baɪɒnɪks
colloid	kɒlɔɪd
ultramarine	ʌltrəmərin
cycad	sʌɪkəd
trivet	trɪvɪt
teleporter	tɛlipɔrtər
adrenal	ædɹinəl
astrometry	əstɹɒmətɹi
tikka	tɪkə
ovipositor	əʊvɪpɒzɪtə
anthropometry	ænθrəʊpɒmɪtrɪ
mosh	mɒʃ
debilitation	dɪbɪlɪteɪʃən
scherzo	skɛtsəʊ
bap	bæp
smiley	smaɪli
pullet	pʊlɪt
outgrown	ɑʊtɡɻɔʊn
portcullis	pɔtkʌlɪs
incendiary	ɪnsɛndɪəɹɪ
inveigle	ɪnveɪɡəl
pretentiously	pɹɪtɛnʃəsli
kleptomaniac	klɛptəmeɪniæk
wade	weɪd
marred	mɑɹd
factious	fækʃəs
wasabi	wəsɑbi
cordage	kɔdɪdʒ
obtrude	ɒbtɹud
damselfish	dæmzəlfɪʃ
embolus	ɛmbələs
lapidary	læpɪdəri
eyrie	ɪɹi
severing	sɛvɹɪŋ
uncollectible	ʌnkəlɛktɨbl
decoupage	deɪkupɑʒ
laager	laɡər
savoir-faire	sævwɑrfɛr
postnational	pəʊstnaʃənəl
depositary	dɪpɒzɪtɹi
injudicious	ɪndʒʊdɪʃəs
inapt	ɪnæpt
lithic	lɪθɪk
snick	snɪk
defective	dɪfɛktɪv
chapman	tʃæpmən
descender	dɪsɛndəɹ
freebooter	fɹibutə
dragoon	dɹəgun
thralldom	θɹɔldəm
supernal	supɝnəl
disestablish	dɪsɪstæblɪʃ
deliverability	dɪlɪvɹəbɪlɪti
disembarkation	dɪsɪmbɑɹkeɪʃən
isotropy	aɪsɒtɹəpi
ungraspable	ʌnɡɹɑspəbəl
consolatory	kənsɒlətri
decertification	disɜɹtɪfɪkeɪʃən
lavishness	lævɪʃnɪs
archaism	ɑkeɪɪzəm
abstractedly	æbstɹæktɪdli
accretive	əkritɪv
badge	bædʒ
conterminous	kəntəmɪnəs
freestone	fristoʊn
diastole	daɪæstɒli
acedia	əsidɪə
thymine	θaɪmɪn
clayey	kleɪji
debauch	dɪbɔtʃ
prelapsarian	pɹilapsɛɹɪən
co-wife	koʊwaɪf
monoamine	mɒnəʊeɪmin
underlay	ʌndəɻleɪ
consolingly	kɒnsəʊlɪŋlɪi
splay	spleɪ
cetacean	sɪteɪʃən
fox	fɑks
grass	ɡɹæs
epigone	ɛpɨɡəʊn
expatiate	ɛkspeɪʃɪeɪt
adventuress	ədvɛntʃəɹɪs
seediness	sidinəs
ology	ɑlədʒi
cavil	kævəl
